Epoch	Train Loss	Test Loss	Test Accuracy
1	4.5437	4.4083	2.80%
2	4.3930	4.2839	3.74%
3	4.2823	4.1571	6.85%
4	4.1910	4.0705	4.67%
5	4.1251	3.9962	7.79%
6	4.0231	3.9707	8.41%
7	3.9907	3.8635	9.35%
8	3.9861	3.8444	9.03%
9	3.9263	3.8699	8.72%
10	3.9227	3.8964	9.35%
11	3.9407	3.8852	11.53%
12	3.9220	3.8318	9.35%
13	3.9201	3.8598	9.35%
14	3.9394	3.8592	9.97%
15	3.9214	3.8426	6.54%
16	3.9057	3.7675	13.08%
17	3.9179	3.8334	9.03%
18	3.9031	3.8579	9.03%
19	3.9188	3.8610	9.35%
20	3.9225	3.8859	8.72%
21	3.8987	3.8508	9.97%
22	3.9185	3.8547	8.10%
23	3.9235	3.8388	10.28%
24	3.9114	3.8387	9.03%
25	3.9048	3.8645	9.97%
26	3.9018	3.8424	7.48%
