Epoch	Train Loss	Test Loss	Test Accuracy
1	2.5437	2.1554	43.38%
2	1.8938	1.9459	47.79%
3	1.7111	1.8739	47.41%
4	1.5791	1.7577	51.63%
5	1.4843	1.6521	54.19%
6	1.2604	1.5279	56.88%
7	1.2260	1.4561	58.35%
8	1.1899	1.4429	59.31%
9	1.1779	1.4555	58.61%
10	1.1590	1.4730	59.44%
11	1.1315	1.4348	59.76%
12	1.1257	1.3848	62.19%
13	1.1180	1.4209	60.52%
14	1.0986	1.3710	61.23%
15	1.0909	1.4511	60.72%
