Epoch	Train Loss	Test Loss	Test Accuracy
1	2.1849	1.6895	52.91%
2	1.4053	1.4542	58.60%
3	1.2201	1.2660	64.05%
4	1.1171	1.2937	63.69%
5	1.0370	1.2784	63.44%
6	0.8007	0.9868	70.97%
7	0.7225	0.9724	71.10%
8	0.6911	0.8924	73.36%
9	0.6801	0.8882	74.22%
10	0.6390	0.8891	73.73%
11	0.6242	0.8360	74.83%
12	0.6119	0.8320	74.59%
13	0.6047	0.8739	74.22%
14	0.6149	0.8237	75.75%
15	0.6028	0.8563	75.57%
16	0.6014	0.8765	75.38%
17	0.6037	0.8939	73.73%
