Epoch	Train Loss	Test Loss	Test Accuracy
1	3.4849	2.8465	25.21%
2	2.4623	2.4795	35.99%
3	2.1220	2.2200	40.45%
4	1.8797	1.9563	45.84%
5	1.7638	2.0483	45.25%
6	1.4728	1.7531	51.00%
7	1.3475	1.6412	51.93%
8	1.3051	1.5695	55.57%
9	1.2760	1.6741	53.58%
10	1.2742	1.5694	55.45%
11	1.2185	1.5508	55.57%
12	1.2191	1.5218	57.56%
13	1.2207	1.5934	54.28%
14	1.2130	1.6626	55.33%
15	1.2140	1.5591	57.21%
16	1.2066	1.5706	55.57%
17	1.1798	1.6448	53.58%
