Epoch	Train Loss	Test Loss	Test Accuracy
1	4.5910	4.4665	7.04%
2	4.2232	3.7403	16.20%
3	3.6349	3.1942	25.70%
4	3.1928	2.8636	27.82%
5	2.9292	2.7108	32.75%
6	2.7533	2.6542	33.45%
7	2.7375	2.6434	29.93%
8	2.6822	2.5036	36.62%
9	2.6848	2.7041	35.21%
10	2.6247	2.5650	33.10%
11	2.6408	2.5155	37.68%
12	2.6187	2.4699	34.86%
13	2.6400	2.6290	32.39%
14	2.6396	2.5601	34.86%
