Epoch	Train Loss	Test Loss	Test Accuracy
1	3.9239	3.3975	23.94%
2	2.8305	2.7739	34.15%
3	2.3525	2.4979	38.03%
4	2.0949	2.2117	41.90%
5	1.8866	2.1430	46.48%
6	1.6258	1.9464	51.06%
7	1.5548	1.9219	50.35%
8	1.4674	1.8049	52.46%
9	1.4884	1.7225	55.63%
10	1.4100	1.8585	52.82%
11	1.3840	1.8702	48.94%
12	1.3853	1.7404	57.39%
13	1.3802	1.7040	54.93%
14	1.3687	1.8137	52.82%
15	1.3400	1.8167	53.52%
