Epoch	Train Loss	Test Loss	Test Accuracy
1	4.5805	4.4673	4.93%
2	4.1979	3.8081	10.92%
3	3.5319	3.1651	21.13%
4	3.1246	2.9989	25.70%
5	2.8939	2.7654	30.99%
6	2.7153	2.6917	33.45%
7	2.6632	2.7952	30.63%
8	2.6735	2.6190	33.80%
9	2.6348	2.7022	30.63%
10	2.6330	2.6345	35.21%
11	2.5668	2.6501	34.15%
12	2.6095	2.5596	36.62%
13	2.6057	2.6327	35.92%
14	2.5529	2.6237	35.56%
15	2.5942	2.6759	35.56%
