Epoch	Train Loss	Test Loss	Test Accuracy
1	5.0326	4.8998	1.09%
2	4.6896	4.8964	2.43%
3	4.5504	4.8565	4.48%
4	4.4612	4.4691	4.54%
5	4.4476	4.4762	5.18%
6	3.6952	3.7642	9.40%
7	3.6119	3.6734	9.02%
8	3.5651	3.6492	11.71%
9	3.5408	3.6651	10.94%
10	3.4934	3.6350	11.00%
11	3.4021	3.5853	11.96%
12	3.3729	3.5333	13.12%
13	3.3622	3.5040	12.73%
14	3.3527	3.5089	13.50%
15	3.3430	3.5031	13.44%
16	3.3337	3.4816	14.84%
17	3.3279	3.4713	15.23%
18	3.3127	3.5304	13.31%
19	3.3316	3.4813	15.87%
20	3.3258	3.5026	15.42%
21	3.3255	3.4746	15.55%
22	3.3209	3.5039	14.01%
