Epoch	Train Loss	Test Loss	Test Accuracy
1	3.1292	2.7859	27.06%
2	2.2027	2.3149	37.17%
3	1.8641	2.1572	40.69%
4	1.6439	1.8690	47.73%
5	1.5135	1.7539	50.86%
6	1.1943	1.3679	61.80%
7	1.1088	1.3117	62.00%
8	1.0462	1.3329	62.12%
9	1.0219	1.2525	64.24%
10	1.0021	1.2255	63.98%
11	0.9564	1.2294	65.96%
12	0.9472	1.2040	66.28%
13	0.9229	1.1700	67.11%
14	0.9265	1.2191	64.88%
15	0.9229	1.1981	66.60%
16	0.9102	1.2088	66.35%
