Epoch	Train Loss	Test Loss	Test Accuracy
1	4.6365	4.5345	2.11%
2	4.1406	4.0297	8.45%
3	3.9208	4.5646	8.10%
4	3.6858	3.8709	9.86%
5	3.5044	3.9248	9.15%
6	3.2293	3.1765	17.61%
7	3.1149	3.2010	19.01%
8	3.0308	3.2374	20.42%
9	2.9675	3.0695	21.13%
10	2.9135	3.0396	25.35%
11	2.8161	3.0104	26.06%
12	2.7631	2.9501	25.35%
13	2.7625	2.8958	23.59%
14	2.7263	2.8569	26.41%
15	2.7272	2.9185	26.76%
16	2.7022	2.9566	26.76%
17	2.7198	2.9557	26.41%
18	2.6700	2.8803	22.54%
