Epoch	Train Loss	Test Loss	Test Accuracy
1	4.2046	4.5833	3.75%
2	3.5465	3.7675	10.55%
3	3.1811	4.5825	8.09%
4	3.0362	3.6833	14.30%
5	2.7402	3.8022	16.65%
6	2.3995	2.5070	34.11%
7	2.2538	2.5209	34.47%
8	2.1740	2.3892	36.34%
9	2.1251	2.3049	39.51%
10	2.0337	2.3494	37.16%
11	1.9757	2.1392	41.97%
12	1.9595	2.2514	41.38%
13	1.9409	2.1684	40.21%
14	1.9457	2.2068	41.50%
