Epoch	Train Loss	Test Loss	Test Accuracy
1	4.4958	4.2948	2.82%
2	3.9824	4.3789	7.04%
3	3.6304	3.4723	13.38%
4	3.4140	3.3929	13.03%
5	3.2030	3.0381	16.90%
6	2.8773	2.8012	27.11%
7	2.7635	2.6851	31.69%
8	2.6356	2.6550	26.76%
9	2.5308	2.5214	32.75%
10	2.4671	2.4111	35.56%
11	2.3954	2.5658	33.45%
12	2.3505	2.4012	35.92%
13	2.2820	2.3083	40.14%
14	2.3048	2.3451	36.97%
15	2.2661	2.4716	37.68%
16	2.2842	2.4049	37.68%
