Epoch	Train Loss	Test Loss	Test Accuracy
1	4.4682	4.3969	2.34%
2	4.1767	4.1671	5.16%
3	3.9508	3.9847	6.10%
4	3.8057	3.9695	6.80%
5	3.7390	3.6501	8.79%
6	3.4989	3.5336	13.95%
7	3.4373	3.3750	15.01%
8	3.3865	3.3982	15.01%
9	3.3276	3.3720	15.71%
10	3.2852	3.3161	16.06%
11	3.2110	3.2780	16.53%
12	3.2045	3.2464	17.94%
13	3.1861	3.2638	19.11%
14	3.1841	3.2217	17.00%
15	3.1669	3.2690	18.99%
16	3.1580	3.2070	17.47%
17	3.1601	3.2469	16.65%
18	3.1551	3.2181	18.41%
