Epoch	Train Loss	Test Loss	Test Accuracy
1	4.6238	4.6196	1.41%
2	4.6116	4.5987	1.28%
3	4.5669	4.5268	1.28%
4	4.4802	4.4376	2.75%
5	4.3817	4.3346	3.20%
6	4.3183	4.3247	3.26%
7	4.3084	4.3161	3.26%
8	4.2997	4.3080	3.39%
9	4.2912	4.3002	3.45%
10	4.2829	4.2924	3.52%
11	4.2782	4.2916	3.52%
12	4.2774	4.2909	3.52%
13	4.2766	4.2901	3.52%
