Epoch	Train Loss	Test Loss	Test Accuracy
1	4.5961	4.5120	1.76%
2	4.3599	4.6281	4.58%
3	4.1918	5.0658	2.46%
4	4.0005	3.9591	6.69%
5	3.8400	3.7778	8.45%
6	3.6048	3.5269	14.08%
7	3.4647	3.4506	14.08%
8	3.4275	3.3845	15.49%
9	3.3477	3.2896	18.66%
10	3.2722	3.2981	16.20%
11	3.1976	3.1946	18.31%
12	3.2145	3.2009	17.96%
