Epoch	Train Loss	Test Loss	Test Accuracy
1	4.6375	8.3378	3.87%
2	4.1415	4.1020	4.23%
3	3.8834	3.9399	7.39%
4	3.6971	3.7390	7.04%
5	3.5349	3.7623	9.51%
6	3.3102	3.1516	19.01%
7	3.0917	3.1022	20.77%
8	3.0471	2.9680	21.83%
9	2.9895	3.1890	19.37%
10	2.8892	2.9880	21.83%
11	2.8357	2.8548	25.00%
12	2.7777	2.9391	22.89%
13	2.7821	2.8425	26.06%
14	2.7110	2.8900	21.13%
15	2.6624	2.8115	27.11%
16	2.6803	2.7610	30.28%
17	2.7164	2.8426	27.11%
18	2.6642	2.8519	25.70%
19	2.6778	2.7767	29.58%
