Epoch	Train Loss	Test Loss	Test Accuracy
1	4.1270	3.8104	7.62%
2	3.4226	3.1059	22.16%
3	3.0632	2.8175	27.20%
4	2.7889	2.6483	29.66%
5	2.5524	2.3493	35.40%
6	2.2417	1.9455	44.78%
7	2.0628	1.8697	48.30%
8	1.9778	1.7987	49.71%
9	1.9168	1.7845	50.18%
10	1.8545	1.6897	51.11%
11	1.7883	1.6825	52.52%
12	1.7443	1.5640	56.62%
13	1.7141	1.6267	54.87%
14	1.7094	1.6186	55.33%
15	1.7392	1.5613	54.16%
