Epoch	Train Loss	Test Loss	Test Accuracy
1	3.6444	2.6269	36.81%
2	2.3971	1.9950	49.71%
3	1.9382	1.7480	53.34%
4	1.6941	1.6501	54.51%
5	1.5515	1.5670	57.33%
6	1.3598	1.4252	60.73%
7	1.2538	1.3538	62.95%
8	1.2263	1.3138	63.89%
9	1.2006	1.3734	60.84%
10	1.1752	1.2896	65.65%
11	1.1460	1.2975	64.36%
12	1.1408	1.2796	63.54%
13	1.1298	1.2400	65.53%
