Epoch	Train Loss	Test Loss	Test Accuracy
1	4.7425	4.8346	1.41%
2	4.3136	4.4537	5.28%
3	4.0867	5.3904	4.93%
4	3.9182	4.1345	3.52%
5	3.8069	3.9094	7.04%
6	3.5650	3.5648	11.62%
7	3.4139	3.4903	14.08%
8	3.3949	3.4116	13.03%
9	3.2594	3.2495	19.37%
10	3.1458	3.2027	18.66%
11	3.0489	3.0550	20.42%
12	2.9940	3.0219	21.13%
13	2.9665	2.9900	22.18%
14	2.9858	3.1229	20.07%
15	2.9758	3.0724	21.13%
16	2.9241	2.9954	22.18%
