Epoch	Train Loss	Test Loss	Test Accuracy
1	4.3399	4.1149	3.13%
2	3.8576	3.7435	7.36%
3	3.5733	3.6803	9.92%
4	3.4200	3.3134	15.36%
5	3.2496	3.2853	16.31%
6	2.9896	3.0651	20.47%
7	2.9031	2.9793	20.99%
8	2.8400	2.8653	24.63%
9	2.8050	2.9004	22.26%
10	2.7542	2.8226	26.36%
11	2.7197	2.8240	25.72%
12	2.7080	2.7977	26.49%
13	2.6924	2.7442	27.64%
14	2.7010	2.8104	26.04%
15	2.6934	2.7779	26.68%
16	2.6977	2.8035	25.40%
