Epoch	Train Loss	Test Loss	Test Accuracy
1	4.3466	3.8611	19.37%
2	3.4081	3.0061	35.21%
3	2.8051	2.5211	37.32%
4	2.3972	2.1864	46.13%
5	2.1193	1.9892	47.89%
6	1.8819	1.9618	50.00%
7	1.7937	1.9834	50.00%
8	1.7515	1.8578	49.65%
9	1.7041	1.8365	52.11%
10	1.6700	1.8115	52.46%
11	1.6680	1.7811	55.28%
12	1.6373	1.8548	47.89%
13	1.6106	1.7347	53.52%
14	1.6413	1.8247	49.65%
