Epoch	Train Loss	Test Loss	Test Accuracy
1	4.1623	3.9659	10.92%
2	3.3593	3.6668	15.49%
3	3.0608	3.3157	19.72%
4	2.8099	3.4663	16.90%
5	2.6254	2.7769	26.41%
6	2.1561	2.2469	41.55%
7	2.0062	2.1603	40.85%
8	1.8886	2.2463	35.92%
9	1.8260	2.0716	45.42%
10	1.8265	2.1558	41.55%
11	1.7174	2.0352	44.37%
12	1.7612	2.0954	41.90%
