Epoch	Train Loss	Test Loss	Test Accuracy
1	4.2955	3.7735	10.56%
2	3.4120	3.0262	22.18%
3	2.9211	2.6657	30.28%
4	2.6719	2.5630	33.80%
5	2.4937	2.4136	36.27%
6	2.0928	2.1428	41.55%
7	1.9611	2.0820	45.07%
8	1.9169	1.9903	46.48%
9	1.8974	1.9188	49.65%
10	1.8115	2.0096	45.42%
11	1.7448	1.9875	44.01%
12	1.7666	1.9518	46.83%
